word,count
accomplishments,1
achievement,1
advantage,1
appreciate,1
better,9
wisdom,1
available,4
award,2
honor,1
top,1
wins,2
awesome,1
beautiful,4
supportive,1
beauty,1
beloved,1
protect,2
benefits,1
best,2
gain,1
great,5
welcome,2
extraordinary,1
work,7
right,6
improve,4
like,11
won,7
good,4
blessing,1
encourage,1
faith,1
boost,1
calm,1
celebration,2
important,2
timely,1
celebratory,1
classic,1
clear,1
commitment,1
helped,2
supported,1
confidence,1
conscientious,1
cool,1
neat,1
cute,1
dedicated,1
delicious,1
delight,1
insightful,1
witty,1
efficient,1
smart,1
elite,1
loves,2
enough,3
enterprising,1
well,7
ethical,1
willing,1
excellent,1
excited,1
wonderful,5
excitement,1
fame,1
patient,1
fantastic,1
free,11
fastest,1
fav,1
foremost,1
win,3
worth,2
peacefully,1
principled,1
silent,1
freedom,1
fun,2
significant,2
gem,1
genuine,1
greatest,1
heartwarming,1
succeed,1
glad,1
gold,2
winning,3
liberate,1
openly,1
peaceful,1
prefer,1
grand,1
privilege,2
guidance,1
gusto,1
happily,1
helpful,1
ideal,1
innovation,1
inspiring,1
invaluable,1
lead,1
leads,3
soft,1
led,2
supporting,1
recommendations,1
legendary,1
reconciliation,1
support,8
promising,1
liked,1
likes,1
love,3
loving,3
masters,1
passion,1
worked,2
pleased,1
premier,2
properly,1
proud,2
ready,2
recovery,1
renowned,1
responsibly,1
strong,2
sufficient,1
suitable,1
variety,1
super,1
talented,1
supporter,1
surreal,1
thank,1
thankful,1
tougher,1
valuable,2
victory,1
wonder,1
works,1
worthy,1
problems,2
unfortunately,1
bad,3
critical,1
crap,1
shit,2
awful,1
racism,5
conservative,2
lose,1
disgrace,2
aggressive,1
issue,3
crash,1
fatal,1
scolding,1
object,1
flaking,1
concerns,2
lost,1
broke,1
outrageous,1
hate,1
criticize,1
concerned,1
fascist,1
indoctrinate,1
offending,1
violent,1
lies,2
weakness,1
sad,2
protest,2
tout,1
complain,2
poverty,2
weaken,2
boring,1
inability,2
condemn,1
disastrous,1
slave,5
bemoaning,1
untenable,1
oversight,1
absurdity,1
harassed,1
harassment,1
oppression,1
broken,1
fear,3
rejection,1
concern,2
loss,1
refused,2
scum,1
slaughter,1
hostile,1
slaves,1
spade,1
fault,1
sarcasm,1
demeaning,2
harm,2
hateful,2
regret,2
sorry,2
absurd,1
apologist,1
hating,1
racist,3
excuses,1
miss,1
death,1
trap,1
bitch,1
impossible,1
cancer,4
nonsense,1
fall,5
hard,1
protesting,1
scared,1
abruptly,2
abused,1
arrogance,1
ignore,1
bomb,1
complaint,1
corrupt,1
corruption,1
confined,1
contaminated,1
liability,1
crazy,1
crisis,2
numb,1
criticism,1
pretentious,1
reproach,1
crushing,1
denied,1
despairing,1
devil,1
wasted,1
die,1
died,1
difficulties,1
disabled,1
killing,2
discrimination,1
dispute,1
dissent,1
drawbacks,1
rampant,1
dying,1
enemies,1
epidemic,1
expensive,1
fallen,1
garbage,1
hang,1
interruption,5
issues,2
scare,1
kill,2
kills,2
scramble,2
leak,1
loser,1
madness,1
moronic,1
spewed,1
negative,1
nervous,1
prison,1
strike,1
problem,1
wrong,1
recession,1
worried,1
ripped,1
rubbish,2
scandal,2
scary,1
strict,1
struggle,1
terrible,1
undermining,1
warning,1
weird,1
worrisome,1
